dobby.cs.umu.se - 1000;


Packet drop rate;
0.040955631399317405;0.03436426116838488;0.0547945205479452;0.0547945205479452;0.03806228373702422;0.027777777777777776;0.013888888888888888;0.0763888888888889;0.3715277777777778;0.3819444444444444;
1;2;4;6;8;16;32;64;128;256;

Packet latency;
329.3950177935943;316.8540925266904;335.5036231884058;335.1014492753623;313.2769784172662;309.84285714285716;322.8556338028169;544.4436090225564;1049.3480662983425;1073.3314606741574;
1;2;4;6;8;16;32;64;128;256;

Frame per second;
0.03241105865321248;0.06706158488878954;0.1240900066181337;0.17570575143493028;0.24746349913387777;0.42656050049765387;0.6825938566552902;0.8143322475570032;0.9881422924901185;0.9874917709019092;
1;2;4;6;8;16;32;64;128;256;

Bandwidth Utilization;
18652.17532221994;38593.13736447971;70141.62806088684;99317.32458709148;140891.8584508785;244606.85340537466;397018.43003412976;443622.1498371336;366292.490118577;359984.2001316656;
1;2;4;6;8;16;32;64;128;256;

Amount of time;
92.563;44.737;24.176;17.075;12.123;7.033;4.395;3.685;3.036;3.038;
1;2;4;6;8;16;32;64;128;256;

