bellatrix.cs.umu.se - 1000;


Packet drop rate;
0.05084745762711865;0.051194539249146756;0.044673539518900345;0.024305555555555556;0.07142857142857142;0.02768166089965398;0.03125;0.08333333333333333;0.3923611111111111;0.3368055555555556;
1;2;4;6;8;16;32;64;128;256;

Packet latency;
335.49642857142857;333.7517985611511;327.00359712230215;298.79715302491104;356.43589743589746;310.8291814946619;334.2114695340502;573.5568181818181;1095.8514285714286;965.7801047120419;
1;2;4;6;8;16;32;64;128;256;

Frame per second;
0.03193527783691718;0.06407518154634771;0.1221349183731629;0.19696671262556628;0.2103344317464769;0.4532406707961928;0.6400682739492212;0.8047210300429184;0.988793671720501;0.9871668311944718;
1;2;4;6;8;16;32;64;128;256;

Bandwidth Utilization;
18312.96572280179;36480.82016232379;69536.78296625006;113351.97951546189;117598.82212718221;260834.56715515937;365729.8911883934;435090.12875536474;354383.6519446276;386148.0750246791;
1;2;4;6;8;16;32;64;128;256;

Amount of time;
93.94;46.82;24.563;15.231;14.263;6.619;4.687;3.728;3.034;3.04;
1;2;4;6;8;16;32;64;128;256;

