harry.cs.umu.se - 1000;


Packet drop rate;
0.04745762711864407;0.04778156996587031;0.041237113402061855;0.05821917808219178;0.041379310344827586;0.027777777777777776;0.034722222222222224;0.06597222222222222;0.3715277777777778;0.375;
1;2;4;6;8;16;32;64;128;256;

Packet latency;
338.84697508896795;334.1146953405018;313.01433691756273;339.9381818181818;315.76258992805754;306.85357142857146;329.97482014388487;549.8215613382899;1040.5635359116022;1055.4277777777777;
1;2;4;6;8;16;32;64;128;256;

Frame per second;
0.03150730969584944;0.0640861317610869;0.13025356026398055;0.17994241842610365;0.25464731347084285;0.48;0.6;0.7440476190476191;0.9946949602122016;0.9950248756218905;
1;2;4;6;8;16;32;64;128;256;

Bandwidth Utilization;
18132.078642245004;36618.30299923097;74425.84230635637;101343.57005758156;144981.92004074357;275251.19999999995;341606.4;409904.7619047619;368721.4854111406;366805.9701492537;
1;2;4;6;8;16;32;64;128;256;

Amount of time;
95.216;46.812;23.032;16.672;11.781;6.25;5.0;4.032;3.016;3.015;
1;2;4;6;8;16;32;64;128;256;

