draco.cs.umu.se - 500;


Packet drop rate;
0.05405405405405406;0.04778156996587031;0.02768166089965398;0.041237113402061855;0.05517241379310345;0.04827586206896552;0.06597222222222222;0.4444444444444444;0.6493055555555556;0.6284722222222222;
1;2;4;6;8;16;32;64;128;256;

Packet latency;
303.0964285714286;311.6702508960573;296.779359430605;304.6666666666667;314.36131386861314;310.93840579710144;336.01486988847586;782.74375;1335.2376237623762;1216.6822429906542;
1;2;4;6;8;16;32;64;128;256;

Frame per second;
0.03534901258424848;0.0681307201417119;0.14190435646374344;0.20310067023221176;0.2664771717889501;0.47288776796973514;0.8766803039158386;1.0608203677510608;1.5739769150052467;1.6277807921866523;
1;2;4;6;8;16;32;64;128;256;

Bandwidth Utilization;
20270.537776311452;38929.34844321304;81664.25429260678;116050.09816532394;149534.19790371292;267298.86506935686;482973.69959088246;347609.61810466764;325573.97691500525;356705.3716766142;
1;2;4;6;8;16;32;64;128;256;

Amount of time;
84.868;44.033;21.141;14.771;11.258;6.344;3.422;2.828;1.906;1.843;
1;2;4;6;8;16;32;64;128;256;

